#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma|value
#T_SP=webanno.custom.MWE|MWEid|MWElemma|MWEtype
#T_SP=webanno.custom.sense|SenseID|Number_of_candidate_senses|List_of_candidate_senses|Comment|Ainotes


#Text=Mnogo je siromaštva i nezaposlenosti.
86-4	6522-6529	devojka	N	NOUN	_	_	devojka	_	_	_	ENG30-09772029-n	3	ENG30-09772029-n;ENG30-09992837-n;ENG30-10129825-n	*	simple_wsd - ENG30-09772029-n:0.3343::maloletnik između početka puberteta i zrelosti - ENG30-10129825-n:0.2392::mlada neudata žena - ENG30-09992837-n:0.1784::direktni ženski potomak.	
86-5	6530-6531	u	PREP	ADP	_	_	u	_	_	_	_	_	_	_	_	
86-6	6532-6537	školi	N	NOUN	_	_	škola	_	_	_	ENG30-04146050-n	5	ENG30-04146050-n;ENG30-05757536-n;ENG30-08275185-n;ENG30-08276720-n;ENG30-08277393-n	*	simple_wsd - ENG30-04146050-n:0.8013::Zgrada u kojoj se mladi ljudi obrazuju. - ENG30-08275185-n:0.7426::grupa umetnika, pisaca ili mislilaca koje okuplja sličan stil ili učenje - ENG30-08277393-n:0.3703::fakultet i studenti u kakvoj obrazovnoj ustanovi	
86-7	6537-6538	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	

#Text=Grofovija Edesa bila je prva krstaška država nastala u toku i nakon Prvog krstaškog rata.
87-1	6538-6547	Grofovija	N	NOUN	http://www.wikidata.org/entity/Q232806[20]	LOC[20]	grofovija	_	_	_	DRJ0-234324/0	1	DRJ0-234324/0	*	simple_wsd - DRJ0-234324/0:0.7208::grofovski posed; oblast kojom upravlja grof.	
87-2	6548-6553	Edesa	N	PROPN	http://www.wikidata.org/entity/Q232806[20]	LOC[20]	Edesa	_	_	_	_	_	_	_	_	
87-3	6554-6558	bila	V	AUX	_	_	biti	_	_	_	_	_	_	_	_	
87-4	6559-6561	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
87-5	6562-6566	prva	A	ADJ	_	_	prvi	_	_	_	ENG30-01010862-a	7	ENG30-00228294-a;ENG30-01009206-a;ENG30-01009343-a;ENG30-01010862-a;ENG30-01012855-a;ENG30-01467919-a;ENG30-02202047-a	*	simple_wsd - ENG30-01010862-a:0.6733::pre svih ostalih u vremenu, prostoru ili stepenu - ENG30-02202047-a:0.5724::označava početni element u nekom nizu; koji je u nabrajanju ispred drugih - ENG30-01012855-a:0.4387::koji prethodi svim ostalima u vremenu	
87-6	6567-6575	krstaška	A	ADJ	_	_	krstaški	_	_	_	DRJ0-197817/0	1	DRJ0-197817/0	*	simple_wsd - DRJ0-197817/0:0.7893::koji se odnosi na krstaše (koji pripada krstašima, koji sačinjavaju krstaši, u kojem učestvuju krstaši i sl.);	
87-7	6576-6582	država	N	NOUN	_	_	država	_	_	_	ENG30-08544813-n	3	ENG30-08168978-n;ENG30-08178547-n;ENG30-08544813-n	*	simple_wsd - ENG30-08544813-n:0.7766::Teritorija koju zauzima narod. - ENG30-08178547-n:0.7680::Grupa ljudi koji čine vlast suverene države. - ENG30-08168978-n:0.5855::Politička organizacija ljudi koji su pod jednom vladom.	
87-8	6583-6590	nastala	V	VERB	_	_	nastati	_	_	_	ENG30-02625786-v	4	ENG30-00360932-v;ENG30-02612368-v;ENG30-02624263-v;ENG30-02625786-v	*	simple_wsd - ENG30-02625786-v:0.8473::nastati ili se pojaviti - ENG30-00360932-v:0.6312::Postati rođenjem. - ENG30-02624263-v:0.5043::nastati; kakvu formu ili oblik preuzeti	
87-9	6591-6592	u	PREP	ADP	_	_	u	1[190]	u toku[190]	AdpID[190]	LLM-0294[2057]	2[2057]	LLM-0294;LLM-0295[2057]	*[433]	simple_wsd - LLM-0294:0.5834::Za vreme trajanja nečega. - LLM-0295:0.0722::za vreme, dok traje[2057]	
87-10	6593-6597	toku	N	NOUN	_	_	tok	1[190]	u toku[190]	AdpID[190]	LLM-0294[2057]	2[2057]	LLM-0294;LLM-0295[2057]	*[433]	simple_wsd - LLM-0294:0.5834::Za vreme trajanja nečega. - LLM-0295:0.0722::za vreme, dok traje[2057]	
87-11	6598-6599	i	CONJ	CCONJ	_	_	i	_	_	_	_	_	_	_	_	
87-12	6600-6605	nakon	PREP	ADP	_	_	nakon	_	_	_	_	_	_	_	_	
87-13	6606-6611	Prvog	A	ADJ	http://www.wikidata.org/entity/Q51649[21]	EVENT[21]	prvi	_	_	_	ENG30-01010862-a	7	ENG30-00228294-a;ENG30-01009206-a;ENG30-01009343-a;ENG30-01010862-a;ENG30-01012855-a;ENG30-01467919-a;ENG30-02202047-a	*	simple_wsd - ENG30-01010862-a:0.6426::pre svih ostalih u vremenu, prostoru ili stepenu - ENG30-02202047-a:0.5673::označava početni element u nekom nizu; koji je u nabrajanju ispred drugih - ENG30-01012855-a:0.5199::koji prethodi svim ostalima u vremenu	
87-14	6612-6621	krstaškog	A	ADJ	http://www.wikidata.org/entity/Q51649[21]	EVENT[21]	krstaški	2[191]	krstaški rat[191]	NID[191]	LLM-0101[2058]	1[2058]	LLM-0101[2058]	*[434]	simple_wsd - LLM-0101:0.6503::Serija verski motivisanih vojnih pohoda u srednjem veku.[2058]	
87-15	6622-6626	rata	N	NOUN	http://www.wikidata.org/entity/Q51649[21]	EVENT[21]	rat	2[191]	krstaški rat[191]	NID[191]	LLM-0101[2058]	1[2058]	LLM-0101[2058]	*[434]	simple_wsd - LLM-0101:0.6503::Serija verski motivisanih vojnih pohoda u srednjem veku.[2058]	
87-16	6626-6627	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	

#Text=Aprila 175. godine, Avidije Kasije, upravnik Sirije, proglasio se carem na osnovu glasina da je Marko Aurelije umro.
88-1	6627-6633	Aprila	N	NOUN	_	_	april	_	_	_	ENG30-15211189-n	1	ENG30-15211189-n	*	simple_wsd - ENG30-15211189-n:0.2625::Četvrti mesec u godini, posle marta, a pre maja.	
88-2	6634-6638	175.	A	ADJ	_	_	175.	_	_	_	_	_	_	_	_	
88-3	6639-6645	godine	N	NOUN	_	_	godina	_	_	_	ENG30-15203791-n	5	ENG30-08238660-n;ENG30-15201505-n;ENG30-15202634-n;ENG30-15203791-n;ENG30-15204297-n	*	simple_wsd - ENG30-15203791-n:0.2647::Vremenski period od 365 (ili 366) dana. - ENG30-15201505-n:0.2548::Vremenski period koji je potreban planeti (npr, Zemlji ili Marsu) da napravi potpunu revoluciju oko Sunca. - ENG30-15204297-n:0.2413::Vremenski period koji zauzima stalni deo kalendarske godine i koristi se za neku određenu aktivnost.	
88-4	6645-6646	,	PUNCT	PUNCT	_	_	,	_	_	_	_	_	_	_	_	
88-5	6647-6654	Avidije	N	PROPN	http://www.wikidata.org/entity/Q299291[22]	PERS[22]	Avidije	_	_	_	_	_	_	_	_	
88-6	6655-6661	Kasije	N	PROPN	http://www.wikidata.org/entity/Q299291[22]	PERS[22]	Kasije	_	_	_	_	_	_	_	_	
88-7	6661-6662	,	PUNCT	PUNCT	_	_	,	_	_	_	_	_	_	_	_	
88-8	6663-6671	upravnik	N	NOUN	http://www.wikidata.org/entity/Q16532929	ROLE	upravnik	_	_	_	ENG30-09770472-n	2	ENG30-09770472-n;ENG30-09770949-n	*	simple_wsd - ENG30-09770472-n:0.5528::neko ko upravlja vladinom agencijom ili odeljenjem - ENG30-09770949-n:0.2332::Neko ko upravlja firmom.	
88-9	6672-6678	Sirije	N	PROPN	http://www.wikidata.org/entity/Q858	LOC	Sirija	_	_	_	_	_	_	_	_	
88-10	6678-6679	,	PUNCT	PUNCT	_	_	,	_	_	_	_	_	_	_	_	
88-11	6680-6689	proglasio	V	VERB	_	_	proglasiti	2	proglasiti se	IRV	CVMWE-0353[2059]	1[2059]	CVMWE-0353[2059]	*[435]	simple_wsd - CVMWE-0353:0.3633::objaviti svoje postavljenje, naimenovanje; javno se predstaviti za koga, za nešto[2059]	
88-12	6690-6692	se	PAR	PART	_	_	se	2	*	IRV	CVMWE-0353[2059]	1[2059]	CVMWE-0353[2059]	*[435]	simple_wsd - CVMWE-0353:0.3633::objaviti svoje postavljenje, naimenovanje; javno se predstaviti za koga, za nešto[2059]	
88-13	6693-6698	carem	N	NOUN	http://www.wikidata.org/entity/Q39018	ROLE	car	_	_	_	ENG30-02301935-n	4	CV0268;ENG30-02278839-n;ENG30-02301935-n;ENG30-10053004-n	*	simple_wsd - ENG30-02301935-n:0.5527::veliki moljac umerenih šuma Evroazije sa providnim krilima sa velikim krljuštima - ENG30-10053004-n:0.2335::muški valdar imperije, carevine - ENG30-02278839-n:0.1011::veliki leptir bogatih boja	
88-14	6699-6701	na	PREP	ADP	_	_	na	1[192]	na osnovu[192]	AdpID[192]	LLM-0133[2060]	1[2060]	LLM-0133[2060]	*[436]	simple_wsd - LLM-0133:-0.0403::Koristeći kao temelj; bazirano na nečemu.[2060]	
88-15	6702-6708	osnovu	N	NOUN	_	_	osnova	1[192]	na osnovu[192]	AdpID[192]	LLM-0133[2060]	1[2060]	LLM-0133[2060]	*[436]	simple_wsd - LLM-0133:-0.0403::Koristeći kao temelj; bazirano na nečemu.[2060]	
88-16	6709-6716	glasina	N	NOUN	_	_	glasina	_	_	_	ENG30-07223450-n	1	ENG30-07223450-n	*	simple_wsd - ENG30-07223450-n:0.5531::Ogovaranje koje se prenosi usmenim putem, a obično prestavlja mešavinu istine i laži.	
88-17	6717-6719	da	CONJ	SCONJ	_	_	da	_	_	_	_	_	_	_	_	
88-18	6720-6722	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
88-19	6723-6728	Marko	N	PROPN	http://www.wikidata.org/entity/Q1430[23]	PERS[23]	Marko	_	_	_	_	_	_	_	_	
88-20	6729-6737	Aurelije	N	PROPN	http://www.wikidata.org/entity/Q1430[23]	PERS[23]	Aurelije	_	_	_	_	_	_	_	_	
88-21	6738-6742	umro	V	VERB	_	_	umreti	_	_	_	ENG30-00427683-v	3	ENG30-00358431-v;ENG30-00427683-v;ENG30-02109818-v	*	simple_wsd - ENG30-00427683-v:0.5620::izumirati - ENG30-00358431-v:0.3602::Napustiti fizički život i izgubiti sve telesne funkcije i atribute koji se neophodni da bi se održao život. - ENG30-02109818-v:0.2992::patiti ili suočiti se sa bolom smrti	
88-22	6742-6743	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	

#Text=Ukratko, kompozicija preslikavanja je uvek asocijativna.
89-1	6743-6750	Ukratko	ADV	ADV	_	_	ukratko	_	_	_	ENG30-00289860-b	1	ENG30-00289860-b	*	simple_wsd - ENG30-00289860-b:0.8525::na sažet način; u nekoliko reči	
89-2	6750-6751	,	PUNCT	PUNCT	_	_	,	_	_	_	_	_	_	_	_	
89-3	6752-6763	kompozicija	N	NOUN	_	_	kompozicija	_	_	_	ENG30-07037465-n	3	ENG30-05076472-n;ENG30-07037465-n;ENG30-14588492-n	*	simple_wsd - ENG30-07037465-n:0.7448::Neko stvoreno muzičko delo. - ENG30-14588492-n:0.4554::Mešavina sastojaka. - ENG30-05076472-n:0.4314::poredak delova u odnosu jedan prema drugom	
89-4	6764-6777	preslikavanja	N	NOUN	_	_	preslikavanje	_	_	_	ENG30-13008244-n	1	ENG30-13008244-n	*	simple_wsd - ENG30-13008244-n:0.8578::funkcija koja preslikava svaki element jednog skupa u jedan element drugog skupa	
89-5	6778-6780	je	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
89-6	6781-6785	uvek	ADV	ADV	_	_	uvek	_	_	_	ENG30-00019339-b	4	ENG30-00019339-b;ENG30-00019806-b;ENG30-00087542-b;ENG30-00146387-b	*	simple_wsd - ENG30-00019339-b:0.9296::u svakom trenutku; sve vreme i u svakoj prilici - ENG30-00087542-b:0.9189::za neograničeno vreme - ENG30-00146387-b:0.6002::u bilo koje vreme; bilo kada	
89-7	6786-6798	asocijativna	A	ADJ	_	_	asocijativan	_	_	_	ENG30-00157389-a	2	ENG30-00157389-a;ENG30-01973311-a	*	simple_wsd - ENG30-00157389-a:0.7155::koga karakteriše ili koji izaziva ili koje je rezultat asocijacija - ENG30-01973311-a:0.6449::koji se odnosi na asocijaciju (pridruživanje)	
89-8	6798-6799	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	

#Text=Uz pomoć američke vazdušne i artiljerijske podrške, južnovijetnamske trupe su izvršile invaziju na Laos.
90-1	6799-6801	Uz	PREP	ADP	_	_	uz	1[193]	uz pomoć[193]	AdpID[193]	LLM-0311[2061]	1[2061]	LLM-0311[2061]	*[437]	simple_wsd - LLM-0311:0.6112::Korišćenjem nečega ili nekoga radi ostvarenja cilja.[2061]	
90-2	6802-6807	pomoć	N	NOUN	_	_	pomoć	1[193]	uz pomoć[193]	AdpID[193]	LLM-0311[2061]	1[2061]	LLM-0311[2061]	*[437]	simple_wsd - LLM-0311:0.6112::Korišćenjem nečega ili nekoga radi ostvarenja cilja.[2061]	
90-3	6808-6816	američke	A	ADJ	*	DEMO	američki	_	_	_	ENG30-02927512-a	1	ENG30-02927512-a	*	simple_wsd - ENG30-02927512-a:0.4740::O Sjedinjenim Američkim Državama ili koji se odnosi na SAD	
90-4	6817-6825	vazdušne	A	ADJ	_	_	vazdušan	_	_	_	ENG30-01522895-a	1	ENG30-01522895-a	*	simple_wsd - ENG30-01522895-a:0.6281::kreće se ili prenosi vazduhom ili kroz vazduh	
90-5	6826-6827	i	CONJ	CCONJ	_	_	i	_	_	_	_	_	_	_	_	
90-6	6828-6841	artiljerijske	A	ADJ	_	_	artiljerijski	_	_	_	DRJ0-225744/0	1	DRJ0-225744/0	*	simple_wsd - DRJ0-225744/0:0.3687::koji se odnosi na artiljeriju:	
90-7	6842-6849	podrške	N	NOUN	_	_	podrška	_	_	_	ENG30-01212519-n	9	ENG30-01212519-n;ENG30-01212882-n;ENG30-01213886-n;ENG30-01214746-n;ENG30-01215036-n;ENG30-01215902-n;ENG30-01219551-n;ENG30-05693919-n;ENG30-13365698-n	*	simple_wsd - ENG30-01212519-n:0.5282::pomoć nekoj stvari ili politici ili interesima - ENG30-01215902-n:0.5016::Aktivnost podržavanja ili održavanja pomoću snabdevanja novcem ili potrepštinama. - ENG30-05693919-n:0.4845::nešto što pruža nematerijalnu podršku ili pomoć osobi ili cilju ili interesu	
90-8	6849-6850	,	PUNCT	PUNCT	_	_	,	_	_	_	_	_	_	_	_	
90-9	6851-6867	južnovijetnamske	A	ADJ	_	_	južnovijetnamski	_	_	_	CVDf-123/0	1	CVDf-123/0	*	simple_wsd - CVDf-123/0:0.5405::koji se odnosi na Južni Vijetnam	
90-10	6868-6873	trupe	N	NOUN	_	_	trupa	_	_	_	ENG30-08397255-n	2	ENG30-08187033-n;ENG30-08397255-n	*	simple_wsd - ENG30-08397255-n:0.3945::veća vojna jedinica, vojska (u množini) - ENG30-08187033-n:0.3688::Organizacija izvođača i pridruženog osoblja (posebno pozorišnih).	
90-11	6874-6876	su	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
90-12	6877-6885	izvršile	V	VERB	_	_	izvršiti	2	izvršiti invaziju	LVC.full	CVMWE-0158[2062]	1[2062]	CVMWE-0158[2062]	*[438]	simple_wsd - CVMWE-0158:0.6194::prodreti s velikim trupama na teritoriju druge države, iskrcati velike trupe na tlo države koja se smatra neprijateljsk…[2062]	
90-13	6886-6894	invaziju	N	NOUN	_	_	invazija	2	*	LVC.full	CVMWE-0158[2062]	1[2062]	CVMWE-0158[2062]	*[438]	simple_wsd - CVMWE-0158:0.6194::prodreti s velikim trupama na teritoriju druge države, iskrcati velike trupe na tlo države koja se smatra neprijateljsk…[2062]	
90-14	6895-6897	na	PREP	ADP	_	_	na	_	_	_	_	_	_	_	_	
90-15	6898-6902	Laos	N	PROPN	http://www.wikidata.org/entity/Q819	LOC	Laos	_	_	_	_	_	_	_	_	
90-16	6902-6903	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	

#Text=Uglavnom nije moguće zaraziti se sifilisom preko WC šolje, tokom svakodnevnih aktivnosti, u đakuziju, korišćenjem istog pribora za jelo ili odeće.
91-1	6903-6911	Uglavnom	ADV	ADV	_	_	uglavnom	_	_	_	ENG30-00073897-b	5	DRJ0-183094/2;ENG30-00006105-b;ENG30-00041954-b;ENG30-00073897-b;ENG30-00155621-b	*	simple_wsd - ENG30-00073897-b:0.8731::najvećim delom - ENG30-00006105-b:0.8380::u velikoj meri; uglavnom ili pretežno - ENG30-00041954-b:0.4025::bez razlike jednog od drugih	
91-2	6912-6916	nije	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
91-3	6917-6923	moguće	ADV	ADV	_	_	moguće	_	_	_	ENG30-00300891-b	3	ENG30-00300247-b;ENG30-00300496-b;ENG30-00300891-b	*	simple_wsd - ENG30-00300891-b:0.7854::sa mogućnošću da postane stvarna - ENG30-00300496-b:0.6145::do određene mere moguće postignuće ili mogućim sredstvima - ENG30-00300247-b:0.4194::slučajno	
91-4	6924-6932	zaraziti	V	VERB	_	_	zaraziti	1	zaraziti se	IRV	CVMWE-0135[2063]	2[2063]	CVMWE-0135;LLM-0347[2063]	*[439]	simple_wsd - CVMWE-0135:0.9382::dobiti zaraznu bolest, zaražavati se - LLM-0347:0.9337::dobiti zaraznu bolest, inficirati se.[2063]	
91-5	6933-6935	se	PAR	PART	_	_	se	1	*	IRV	CVMWE-0135[2063]	2[2063]	CVMWE-0135;LLM-0347[2063]	*[439]	simple_wsd - CVMWE-0135:0.9382::dobiti zaraznu bolest, zaražavati se - LLM-0347:0.9337::dobiti zaraznu bolest, inficirati se.[2063]	
91-6	6936-6945	sifilisom	N	NOUN	_	_	sifilis	_	_	_	ENG30-14133985-n	1	ENG30-14133985-n	*	simple_wsd - ENG30-14133985-n:0.9451::česta venerična bolest uzrokovana treponema pallidum spirohetom; simptomi se menjaju kroz progresivne faze; može biti u…	
91-7	6946-6951	preko	PREP	ADP	_	_	preko	_	_	_	_	_	_	_	_	
91-8	6952-6954	WC	ABB	X	_	_	WC	2[194]	WC šolja[194]	NID[194]	CVMWE-0505[2064]	1[2064]	CVMWE-0505[2064]	*[440]	simple_wsd - CVMWE-0505:0.2341::porcelanski deo sanitarnog uređaja u toaletu povezan s vodovodom i kanalizacijom[2064]	
91-9	6955-6960	šolje	N	NOUN	_	_	šolja	2[194]	WC šolja[194]	NID[194]	CVMWE-0505[2064]	1[2064]	CVMWE-0505[2064]	*[440]	simple_wsd - CVMWE-0505:0.2341::porcelanski deo sanitarnog uređaja u toaletu povezan s vodovodom i kanalizacijom[2064]	
91-10	6960-6961	,	PUNCT	PUNCT	_	_	,	_	_	_	_	_	_	_	_	
91-11	6962-6967	tokom	PREP	ADP	_	_	tokom	_	_	_	_	_	_	_	_	
91-12	6968-6980	svakodnevnih	A	ADJ	_	_	svakodnevan	_	_	_	ENG30-00970947-a	2	ENG30-00970610-a;ENG30-00970947-a	*	simple_wsd - ENG30-00970947-a:0.1395::uobičajen i običan - ENG30-00970610-a:0.0565::često sretan	
91-13	6981-6991	aktivnosti	N	NOUN	_	_	aktivnost	_	_	_	ENG30-14006945-n	2	ENG30-00407535-n;ENG30-14006945-n	*	simple_wsd - ENG30-14006945-n:0.8882::Stanje u kome je neko aktivan. - ENG30-00407535-n:0.5008::nešto što osoba ili grupa radi ili je uradila	
91-14	6991-6992	,	PUNCT	PUNCT	_	_	,	_	_	_	_	_	_	_	_	
91-15	6993-6994	u	PREP	ADP	_	_	u	_	_	_	_	_	_	_	_	
91-16	6995-7003	đakuziju	N	NOUN	_	_	đakuzi	_	_	_	CVDf-185/0	1	CVDf-185/0	*	simple_wsd - CVDf-185/0:0.5666::velika kadasa sistemom podvodnih mlazeva vode za masažu tela	
91-17	7003-7004	,	PUNCT	PUNCT	_	_	,	_	_	_	_	_	_	_	_	
91-18	7005-7016	korišćenjem	N	NOUN	_	_	korišćenje	_	_	_	ENG30-00947128-n	2	ENG30-00947128-n;ENG30-13451804-n	*	simple_wsd - ENG30-00947128-n:0.5964::Čin korišćenja. - ENG30-13451804-n:0.4481::Upotreba privrednih dobara da bi se zadovoljile potrebe, ili u proizvodne svrhe (ekonomija).	
91-19	7017-7022	istog	A	ADJ	_	_	isti	_	_	_	ENG30-01410606-a	4	ENG30-01410606-a;ENG30-01411065-a;ENG30-02062670-a;ENG30-02068476-a	*	simple_wsd - ENG30-01410606-a:0.6536::ima iste ili slične karakteristike - ENG30-01411065-a:0.6132::jednak po količini ili vrednosti - ENG30-02062670-a:0.5058::slično ili uporedivo prema vrsti ili kvalitetu ili količini ili stepenu	
91-20	7023-7030	pribora	N	NOUN	_	_	pribor	3[195]	pribor za jelo[195]	NID[195]	ENG30-03153375-n[2065]	1[2065]	ENG30-03153375-n[2065]	*[441]	simple_wsd - ENG30-03153375-n:0.4704::stoni pribor koji služi da se seče i jede hrana[2065]	
91-21	7031-7033	za	PREP	ADP	_	_	za	3[195]	pribor za jelo[195]	NID[195]	ENG30-03153375-n[2065]	1[2065]	ENG30-03153375-n[2065]	*[441]	simple_wsd - ENG30-03153375-n:0.4704::stoni pribor koji služi da se seče i jede hrana[2065]	
91-22	7034-7038	jelo	N	NOUN	_	_	jelo	3[195]	pribor za jelo[195]	NID[195]	ENG30-03153375-n[2065]	1[2065]	ENG30-03153375-n[2065]	*[441]	simple_wsd - ENG30-03153375-n:0.4704::stoni pribor koji služi da se seče i jede hrana[2065]	
91-23	7039-7042	ili	CONJ	CCONJ	_	_	ili	_	_	_	_	_	_	_	_	
91-24	7043-7048	odeće	N	NOUN	_	_	odeća	_	_	_	ENG30-03051540-n	2	ENG30-02728440-n;ENG30-03051540-n	*	simple_wsd - ENG30-03051540-n:0.6819::Pokrivač koji služi da ga čovek nosi na svom telu. - ENG30-02728440-n:0.3472::odevanje uopšte	
91-25	7048-7049	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	

#Text=Ove praznine su naknadno popunjene pošto su hemičari otkrili još neke prirodne elemente.
92-1	7049-7052	Ove	PRO	DET	_	_	ovaj	_	_	_	_	_	_	_	_	
92-2	7053-7061	praznine	N	NOUN	_	_	praznina	_	_	_	ENG30-13910384-n	4	ENG30-05141040-n;ENG30-13910384-n;ENG30-14455206-n;ENG30-14456054-n	*	simple_wsd - ENG30-13910384-n:0.5462::Prazan prostor, obično na neki način ograničen. - ENG30-14456054-n:0.2915::odsustvo materije - ENG30-05141040-n:0.2750::svojstvo bezvrednosti ili uzaludnosti	
92-3	7062-7064	su	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
92-4	7065-7073	naknadno	ADV	ADV	_	_	naknadno	_	_	_	ENG30-00061203-b	1	ENG30-00061203-b	*	simple_wsd - ENG30-00061203-b:0.4418::događa se u vreme koje sledi nakon referentnog vremena	
92-5	7074-7083	popunjene	V	VERB	_	_	popuniti	_	_	_	ENG30-02267989-v	4	ENG30-01193721-v;ENG30-01194938-v;ENG30-02267989-v;ENG30-02394183-v	*	simple_wsd - ENG30-02267989-v:0.3964::zahtevati (vreme ili prostor) - ENG30-02394183-v:0.3330::pretpostaviti, kao što su položaji ili uloge - ENG30-01193721-v:0.1973::ispuniti do mere u kojoj ste zadovoljni	
92-6	7084-7089	pošto	CONJ	SCONJ	_	_	pošto	_	_	_	_	_	_	_	_	
92-7	7090-7092	su	V	AUX	_	_	jesam	_	_	_	_	_	_	_	_	
92-8	7093-7101	hemičari	N	NOUN	http://www.wikidata.org/entity/Q593644	ROLE	hemičar	_	_	_	ENG30-09913824-n	1	ENG30-09913824-n	*	simple_wsd - ENG30-09913824-n:0.2366::naučnik specijalizovan za hemiju	
92-9	7102-7109	otkrili	V	VERB	_	_	otkriti	_	_	_	ENG30-02197781-v	14	ENG30-00598954-v;ENG30-00599992-v;ENG30-00721437-v;ENG30-00920336-v;ENG30-00933821-v;ENG30-01036319-v;ENG30-01339505-v;ENG30-01637982-v;ENG30-02129709-v;ENG30-02137710-v;ENG30-02143283-v;ENG30-02197781-v;ENG30-02230022-v;ENG30-02235842-v	*	simple_wsd - ENG30-02197781-v:0.8854::smatrati da ste u određenom stanju ili na određenom mestu - ENG30-01036319-v:0.8569::staviti u opasan, nepovoljan ili težak položaj - ENG30-00598954-v:0.6832::upoznati nešto ili postati nečega svestan, obično slučajno	
92-10	7110-7113	još	ADV	ADV	_	_	još	_	_	_	CV0131	4	CV0131;CV0165;ENG30-00017639-b;ENG30-00027795-b	*	simple_wsd - CV0131:0.7477::kad nečega nije bilo do vremena kad se govori (u negaciji) - ENG30-00027795-b:0.5426::do sadašnjeg trenutka - ENG30-00017639-b:0.4309::u većoj meri ili opsegu; koristi se sa poređenjima	
92-11	7114-7118	neke	PRO	DET	_	_	neki	_	_	_	_	_	_	_	_	
92-12	7119-7127	prirodne	A	ADJ	_	_	prirodan	_	_	_	ENG30-01570892-a	2	CV0180;ENG30-01570892-a	*	simple_wsd - ENG30-01570892-a:0.7414::onaj koji postoji ili je nastao prirodnim putem; nije imitacija niti je nastao veštačkim putem; - CV0180:0.2402::koji je u vezi s proučavanjem prirode, koji uzima prirodu kao predmet proučavanja	
92-13	7128-7136	elemente	N	NOUN	_	_	element	_	_	_	ENG30-14840755-n	3	ENG30-05868954-n;ENG30-14622893-n;ENG30-14840755-n	*	simple_wsd - ENG30-14840755-n:0.7197::Jedna od četiri supstance za koje se u staroj i srednjevekovnoj kosmologiji verovalo da čine fizički univerzum. - ENG30-14622893-n:0.5877::Jedan od više od 100 poznatih supstanci (od kojih se 92 javlja u prirodi) koje se ne mogu odvojiti u jednostavnije sups… - ENG30-05868954-n:0.4988::apstraktna komponenta nečega	
92-14	7136-7137	.	SENT	PUNCT	_	_	.	_	_	_	_	_	_	_	_	

#Text=Ime potiče od francuske transkripcije imena mitološkog lika–Arijadne.
93-1	7137-7140	Ime	N	NOUN	_	_	ime	_	_	_	ENG30-06333653-n	3	ENG30-06333653-n;ENG30-06337307-n;ENG30-10344443-n	*	simple_wsd - ENG30-06333653-n:0.8856::Jezička jedinica po kojoj je poznata osoba ili stvar ili objekat ili pojava iz prirode - ENG30-06337307-n:0.7826::ime koje prethodi prezimenu - ENG30-10344443-n:0.6739::poznata ili značajna osoba	
93-2	7141-7147	potiče	V	VERB	_	_	poticati	_	_	_	ENG30-02624263-v	4	ENG30-02624263-v;ENG30-02627666-v;ENG30-02737187-v;ENG30-02743214-v	*	simple_wsd - ENG30-02624263-v:0.9463::nastati; kakvu formu ili oblik preuzeti - ENG30-02737187-v:0.5913::Biti povezan krvnim srodstvom. - ENG30-02743214-v:0.5214::biti rodom iz	
93-3	7148-7150	od	PREP	ADP	_	_	od	_	_	_	_	_	_	_	_	
93-4	7151-7160	francuske	A	ADJ	*	DEMO	francuski	_	_	_	ENG30-06964901-n	2	ENG30-02958392-a;ENG30-06964901-n	*	simple_wsd - ENG30-06964901-n:0.7767::romanski jezik kojim se govori u Fancuskoj i u zemljama koje su bile Francuske kolonije. - ENG30-02958392-a:0.5847::koji se odnosi na Francusku, njene ljude i kulturu	
93-5	7161-7174	transkripcije	N	NOUN	_	_	transkripcija	_	_	_	CV0230	2	CV0230;ENG30-00910203-n	*	simple_wsd - CV0230:0.8847::prepisivanje slova iz jednog sistema pisanja u drugi sistem pisanja - ENG30-00910203-n:0.7693::čin pravljenja zapisa (posebno audio zapisa)	
